question,answers,correct_answer
An object's property can have which of the following accessors?,a) get ~b) set ~c) a and b ~d) None ~,c
Which of the following terms refers to the data represented by an object's instance variables?,a) Behaviors ~b) Attributes ~c) Methods ~d) Information ~,b
Each object of a class is identical except for the values and references it holds.,,True.
Methods always return a value or reference.,,"False. A method's return type can be void, indicating that there is no return value. 
5. Instance variables and local variables both represent the attributes of a class.  "
"In UML class diagrams, the + sign ~a) signifies that the section can be expanded.",a) signifies that the section can be expanded. ~b) is the public visibility symbol. ~c) stands for addition. ~d) None of the above ~,b
Method headers contain all of the following except:,a) access modifier ~b) left brace ~c) method name ~d) return type ~,b
Every C# application is composed of at least one:,a) public method ~b) data member ~c) public class declaration ~d) imported class ~,c
The keyword new is used to create a new method of a class.,,"False. It's used to create a new object of a class. 
4.4 Declaring a Method with a Parameter "
The comma-separated list of values specified in a method call are called ________.,a) arguments ~b) references ~c) objects ~d) parameters ~,a
Any classes that are not explicitly placed in a namespace are implicitly placed in the global ~namespace.,,True.
Why would the access modifier private be used instead of public?,a) To make it more complicated for accessing methods and variables ~b) To hide sensitive information ~c) To help insure encapsulation ~d) b and c ~,d
Attributes of a class are also known as:,a) constructors ~b) local variables ~c) fields ~d) classes ~,c
Declaring a class's instance variables with access modifier private indicates that only the class's ~methods should have access to those instance variables.,,True.
The order in which methods are declared in a class declaration determines when those methods are ~called at execution time.,,"False. The order in which methods are declared does not determine the order in which they 
are called.  "
"In a UML class diagram, the word ""property"" is in _________.","a) braces [] ~b) quotes """" ~c) guillemets <<>> ~d) curly braces {} ~",c
What is the private visibility symbol in the UML class diagram?,a) + ~b) - ~c) * ~d) ^ ~,b
"A class diagram helps you design a class, so it is required to show every implementation detail.",,"False. To maintain simplicity when designing the class, it is often best not to show every 
implementation detail. "
Which of the following is a reason for using the get and set accessors?,a) To follow a universal standard.  ~b) To allow the class to control the manner in which the data is set or returned. ~c) To make a program more robust. ~d) b and c ~e) All of the above ~,d
Which method converts a string into an int?,a) string_variable.ConvertToInt ~b) Convert.ToInt32 ~c) Type.ConvertToInt ~d) All of the above ~,b
It is possible to have only one of the get or set accessors for a variable.,,True.
"By including only the get accessor, the private variable can be assigned a new value.",,"False. Including only the get accessor, makes the private variable read-only outside of the 
class.  "
An auto-implemented property may have ~a) only a get accessor ~b) only a set accessor ~c) get and set accessors ~d) none of the above ~Answer:,a) only a get accessor ~b) only a set accessor ~c) get and set accessors ~d) none of the above ~,c
You can implement validation logic in auto-implemented properties.,,"False. You must create user-defined properties if you want to add any logic. 
4.9 Value Types vs. Reference Types "
A variable of a reference type contains:,a) information about the type and its data ~b) data of that type ~c) the address of the location in memory where data is stored ~d) None of the above. ~,c
What is the default value of a reference?,"a) 0 ~b) """" ~c) null ~d) default ~",c
Value types normally represent single pieces of data.,,True.
Programmers can create reference types.,,True.
"A primitive-type variable can store exactly one value at a time, whereas one object can contain ~many individual pieces of data.",,True.
Primitive-type variables refer to objects in a C# application.,,"False. Reference-type variables refer to objects in a C# application. 
4.10 Initializing Objects with Constructors "
A ________ is called to initialize a new instance of a class.,a) constructor ~b) destructor ~c) creator ~d) new ~,a
What keyword is associated with creating objects?,a) create ~b) constructor ~c) new ~d) start ~,c
A default constructor has how many parameters?,a) 0 ~b) 1 ~c) 2 ~d) any number ~,a
Constructors are always public.,,False.
"Like methods, constructors can have more than one parameter.",,True.
The compiler provides a default constructor with a string parameter in any class that does not ~explicitly include a constructor.,,"False. The compiler provides a default constructor with no parameters in any class that does 
not explicitly include a constructor. "
"Constructors can take arguments, but cannot return values.",,True.
"To type a decimal literal, you must type the letter ____ at the end of a real number.",a) C or c ~b) E or e ~c) M or m ~d) T or t ~,c
Which of the following list correctly orders which type has fewest to the most significant digits?,"a) decimal, double, float ~b) float, double, decimal ~c) double, float, decimal ~d) decimal, float, double ~",b
Let z represent a format specifier.,"a) { 0:z } ~b) { z:0 } ~c) { 0,z } ~d) { z,0 } ~",a
What is the difference between a float and a double?,a) double variables store integers and float variables store floating-point  numbers. ~b) double variables store numbers with smaller magnitude and coarser detail. ~c) double variables store numbers with larger magnitude and finer detail. ~d) None of the above. ~,c
"double represents a double-precision floating-point number, while float represents a single-~precision floating-point number.",,True.
"float, double, decimal are always 100% precise.",,"False. All three types could only hold a limited range of numbers. 
 "
_________ methods can be called without the need for an object of the class to exist.,a) special ~b) independent ~c) static ~d) dependent ~,c
Methods that call themselves are known as ________ methods.,a) reiterative ~b) self-calling ~c) repeat-calling ~d) recursive ~,d
Information may be                   methods.,a) passed to ~b) returned from ~c) manipulated in ~d) All of the above. ~,d
A method is invoked by a                 .,a) return statement ~b) method header ~c) method call ~d) None of the above. ~,c
